GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,05-25,2099,1911.59,327.372,5119.62
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,05-07,2090,5003.7,420.906,11963.67
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,04-25,2099,2921.81,456.931,9615.87
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,04-25,2098,4399.92,424.087,12654.14
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-07,2099,1414.98,327.81600000000003,5233.17
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-07,2091,9207.23,513.5989999999999,22550.75
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-25,2090,1740.5,355.993,5940.71
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,05-25,2100,5440.25,290.312,10351.25
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-07,2098,2145.51,387.072,9165.61
mri-esm2-0,ssp585,40,25,-91,75,mag3,05-07,2085,6548.74,302.819,12667.16
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,05-15,2092,4461.55,315.245,9330.82
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,05-07,2087,6509.36,497.457,16466.73
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,05-07,2098,7018.98,426.519,13532.03
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,04-15,2089,6560.87,431.769,16547.02
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,04-25,2090,7879.38,436.60400000000004,13218.07
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-25,2098,1153.22,267.212,3543.63
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-07,2091,5708.91,491.77,15270.1
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,05-07,2098,2412.64,275.53700000000003,5163.26
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-25,2087,2785.04,385.938,8034.39
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-25,2091,3190.3,382.812,6819.78
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,04-25,2099,3250.52,355.002,7374.51
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,05-25,2098,7307.01,517.652,17370.8
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag2,05-15,2081,9954.74,438.51199999999994,22445.08
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,05-25,2087,4631.15,389.758,8723.8
mri-esm2-0,ssp585,40,25,-91,75,mag5,05-25,2085,4789.2,301.204,10323.33
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-25,2091,11475.01,447.73199999999997,19051.01
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag5,05-07,2100,6917.17,329.28999999999996,12502.06
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,05-15,2089,7412.65,461.64599999999996,19310.41
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,05-15,2081,3426.45,282.65700000000004,7828.0
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-25,2098,639.64,371.67,5137.7
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,04-25,2098,3363.49,336.274,7983.46
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-07,2087,3711.17,388.535,7686.69
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,05-15,2092,4049.14,409.53,11678.09
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,05-25,2100,5632.12,382.50300000000004,14508.33
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,04-15,2097,5729.49,343.884,11686.62
mri-esm2-0,ssp585,40,25,-91,75,mag8,05-07,2085,4423.22,410.325,14827.59
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-07,2098,3073.14,309.374,7243.08
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,04-25,2090,5726.78,499.798,16315.92
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag6,04-25,2100,7722.7,366.606,15061.32
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag6,04-15,2092,4767.11,443.043,13546.57
gfdl-esm4,ssp585,40,25,-91,75,mag5,04-15,2092,6760.2,323.256,13935.11
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-07,2087,5621.0,489.028,15118.34
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,05-07,2099,3009.6,354.48699999999997,7020.93
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,05-25,2090,4357.8,355.486,10320.44
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-15,2081,3512.88,278.842,7873.29
